Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Gnocchi alla romana;Primi piatti;Semolino;6;621;3726;250 gr. di semolino;1 litro di latte;sale;1 uovo;grana grattuggiato;burro;;;;;;;;;;;;;Mettere il latte in una pentola con il sale e far scaldare.;Appena è tiepido aggiungere il semolino.;Mescolare bene perchè non si formino dei grumi.;Far cuocere, sempre mescolando, per 12 min. circa.;Togliere dal fuoco e far intiepidire.;Aggiungere l'uovo.;Versare su di una tavola leggermente umida.;Livellare bene e tagliare a rombi.;Imburrare una pirofila e sistemarli in modo alternato.;Mettere dei fiocchetti di burro;Spolverare di grana;Mettere in forno caldo a dorare.;;;;;;;Ricetta della nonna Giuliana. Ma quanto sono buoni ?????????????????
Gnocchi di patate;Primi piatti;Patate;10;;0;3 kg. di patate;farina (circa 1 kg.);3 cucchiaini di sale fino;3 uova;;;;;;;;;;;;;;;Cuocere le patate in pentola a pressione;Spellarle e passarle con lo schiaccia patate.;FARLE RAFFREDDARE.;Agiungere il sale e le uova, uno alla volta.;Aggiungere la farina necessaria a fare la pasta non appiccicosa.;Fare delle sringhe e tagliarle a pezzetti.;Passarli sul rovescio della grattugia del grana.;Cuocerli in acqua bollente salata.;;;;;;;;;;;
Grano al pomodoro;Primi piatti;Grano;;;0;Grano;Polpa di pomodoro;Cipolla;Prezzemolo;Sale;Olio;Piselli cotti in tegame;;;;;;;;;;;;Lessare il grano 10 min. in acqua bollente salata.;Cuocere il pomodoro con la cipolla, prezzemolo, sale e olio.;Scolare il grano e saltarlo bene nel sugo.;Servire nei piatti con un filo di olio crudo.;A piacere aggiungere i piselli precedentemente cotti.;;;;;;;;;;;;;;Ricetta di mia invenzione.
Insalata di riso;Primi piatti;Riso;;;0;500 gr. di riso;3 scatole di condiriso all'olio;3 scatolette di tonno;3 wurstel grandi;1 galbanino piccolo;2 vaschette di prosciutto cotto;1 vasetto di cipolline sott'aceto;;;;;;;;;;;;Mettere a bollire l'acqua x il riso.;Dentro lessarci i wurstel.;Toglierli, salare l'acqua e cuocere il riso. ;Sgocciolare il condiriso e le cipolline e sciacquarli sotto l'acqua.;Mettere in una terrina.;Sgocciolare bene il tonno.;Tagliare i wurstel a pezzettini.;Tagliare il galbanino a pezzettini.;Mescolare il tutto alle verdure.;Aggiungere il prosciutto cotto.;Scolare il riso e passarlo sotto l'acqua fredda.; Aggiungerlo alle verdure e mescolare bene.;Far riposare in frigo almeno una notte. ;;;;;;Secondo me è la ricetta perfetta!
Iota;Primi piatti;Crauti;6;182;1092;5 scatole di fagioli borlotti;una scatola di crauti già preparati;brodo di tacchino con le verdure;olio extravergine;grana grattuggiato;pepe nero;;;;;;;;;;;;;Frullare le verdure del brodo con due scatole di fagioli.;Aggiungerci i crauti e mescolare.;Versarci i fagioli con tutta la loro acqua.;Far bollire per un po'.;Spegnere e lasciare coperto.;Servire molto calda con un filo d'olio, grana e pepe nero.;;;;;;;;;;;;;Ricetta della nonna Nina.
Mezzelune alla trevisana;Primi piatti;Radicchio di Treviso;6;;0;pasta all'uovo;800 gr. di insalata Trevisana;250 gr. di ricotta;100 gr. di scamorza affumicata;burro;sale;pepe;porro;burro;grana;;;;;;;;;Tagliare la trevisana a listarelle.;Farla appassire in 30 gr.di burro, coperta.;Poi farla saltare su fuoco vivo per fare evaporare l'acqua.;Salare e pepare.;Lasciarla raffreddare e tritarla finemente.;Unire la ricotta e la scamorza tagliata a dadini.;Tagliare la pasta con gli appositi stampini.;Riempire con poco ripieno e chiuderli bene.;Farli asciugare al fresco per una notte girandoli una volta.;Eliminare la parte verde del porro.;Tagliarlo al rondelle e farlo rosolare in abbondante burro.;Cuocere la pasta in acqua bollente salata.;Scolarli e condirli con il burro e il porro. ;Mescolare delicatamente e spolverizzare di grana.;;;;;Provare a condire con scalogno soffritto e pancetta rosolata.
Minestra di fagioli e prosciutto;Primi piatti;Fagioli;;;0;3 lattine di fagioli borlotti;1 scatola di soffritto surgelato;1 spicchio d'aglio;250 gr. di patate;olio ;1 litro di brodo di verdura;coppa o crudo o pancetta o speck;;;;;;;;;;;;Rosolare il soffritto e l'aglio con un po' d'olio nella pentola a pressione.;Scolare i fagioli e lavarli.;Tagliare le patate a pezzi molto piccoli.;Togliere l'aglio e aggiungere i fagioli e le patate. ;Aggiungere il brodo. ;Chiudere e al fischio cuocere 20 min.;Rosolare in una pentola calda un affettato.;Servire la minestra molto calda con olio e pepe.;Mettere al centro del piatto un po' d'affettato croccante.;;;;;;;;;;Molto buona!
Minestra di fagiolini;Primi piatti;Fagiolini;;;0;1 kg. di fagiolini;2 scatole di polpa di pomodoro;1 cipolla;sale ;peperoncino;olio;;;;;;;;;;;;;Mettere tutto in una pentola capiente.;Aggiungere acqua a coprire il tutto.;Coprire e cuocere 30 min. circa.;Scoperchiare.;Far bollire ancora un po' in modo da far amalgamare i sapori.;Servire caldo caldo.;;;;;;;;;;;;;Ricetta della nonna Giuliana
Passatelli in brodo;Primi piatti;Pane grattugiato;2;150;300;2 litri di brodo;100 gr. di pangrattato;2 uova;pepe;sale;2 cuc.iai scarsi di grana grattuggiato;noce moscata;(scorza grattuggiata di 1\2 limone);cannella;;;;;;;;;;Mescolare il pangrattato con le uova e il formaggio.;Aggiungere la noce moscata, cannella,sale e pepe. (scorza del limone);Mescolare bene l'impasto.;Metterlo nell'apposito attrezzo.;Portare a bollore il brodo.;Schiacciare i passatelli e tagliarli con un coltello.;Versarli nel brodo.;Quando affiorano in superficie spegnere il fuoco (circa 3-4 min.);Servirli immediatamente.;Spolverizzare con formaggio grana.;;;;;;;;;Ricetta nonna Giuliana. Si può usare anche il macina carne elettrico a fori grandi per formarli.
Pasta ai broccoli;Primi piatti;Broccoli;;;0;Broccoli surgelati;pepe;Olio;Pasta corta o spaghetti;Aglio in polvere;Grana;;;;;;;;;;;;;Mettere l'olio in una padella.;Aggiungere i broccoli ancora surgelati.;Mettere sale e pepe;Cuocere la pasta.;Spadellarla nel sugo. ;Servire con il grana.;Aggiungere un po' d'olio crudo. (a piacere);;;;;;;;;;;;
Pasta al prosciutto, pancetta e formaggio;Primi piatti;Scamorza bianca;6;;0;500 gr. di pasta corta;200 gr. di prosciutto cotto a dadini;200 gr. di pancetta affumicata;una scamorza bianca;500 gr. di besciamella;noce moscata;burro;grana grattugiato;;;;;;;;;;;Cuocere la pasta al dente.;Rosolare la pancetta e il prosciutto.;Scolare la pasta e mescolarla con la besciamella.;Aggiungere una grattuggiata di noce moscata.;Mescolare la pancetta e il prosciutto con il grasso alla besciamella.;Tagliare la scamorza a dadini.;Aggiungerla alla pasta e mescolare molto bene.;Mettere la pasta in una terrina leggermente unta.;Spolverare di grana e passare in forno a gratinare.;Servire caldo.;;;;;;;;;Ricetta di mia invenzione. Buona!
Pasta al ragù arricchito di Paola;Primi piatti;Ragù;;;0;Ragù fatto in casa;pancetta affumicata;cipolla;funghi secchi ammollati;pasta;grana;;;;;;;;;;;;;Rososlare la pancetta con la cipolla a cubetti;Scaldare benissimo il ragù;Aggiungere al ragù i funghi e l'acqua filtrata;Cuocere la pasta;Aggiungere al ragù anche la pancetta;Condire la pasta;Servire con abbondante grana grattuggiato;;;;;;;;;;;;Ricetta di Paola da utilizzare quando non ne può più di mangiare pasta al ragù!!!!!
Pasta alla Norma;Primi piatti;Melanzane;4;;0;300 gr. di spaghetti;2 melanzane;500 gr. di salsa di pomodoro;1 peperoncino;basilico;grana grattuggiato;1 spicchio d'aglio;olio per friggere;sale;;;;;;;;;;Tagliare le melanzane con la buccia a fette o a cubetti. ;Friggerle in abbondante olio.;Asciugarle su carta da cucina.;Scaldare la salsa di pomodoro con il peperoncino e l'aglio.;Cuocere gli spaghetti in abbondante acqua salata.;Scolarli al dente e condirli con la salsa.;Aggiungere qualche foglia di basilico.;Servire con le melanzane a parte.;Nei piatti mettere la pasta, le melanzane e del grana.;;;;;;;;;;
Pasta alla Toni;Primi piatti;Fagioli;4;;0;400 gr. di pasta tipo tortiglioni;1 scatola di fagioli;1\2 cipolla;salsa di pomodoro;fondo di speck;salvia;rosmarino;sale;olio;grana grattuggiato;;;;;;;;;Far soffriggere la cipolla tagliata fine con un po' d'olio.;Aggiungerci lo speck tagliato a pezzettini e far rosolare.;Aggiungere 5-6 cucchiai di salsa di pomodoro.;Scolare i fagioli dall'acqua e aggiungerli al sugo.;Metterci salvia e rosmarino e far sobbollire per qualche minuto.;Assaggiare per il sale.;Cuocere la pasta al dente e scolarla.;Versare la pasta nella pentola del sugo e spadellare per pochi minuti.;Servire caldissimo con abbondante grana grattuggiato.;;;;;;;;;; A piacere si può sostituire lo speck con un fondo qualsiasi di affettato purchè sia ugualmente saporito (pancetta affumicata, salame, prosciutto affumicato, ecc.). Ricetta di Toni Formigaro.
Pasta alla trevisana;Primi piatti;Radicchio di Treviso;6;595;3570;400 gr. di pasta corta;800 gr. di radicchio di Treviso;2 scalogni;20 gr. di burro;150 gr. di scamorza affumicata;100 gr. di bacon;sale;pepe;;;;;;;;;;;Far rosolare gli scalogni con il burro.;Aggiungere la trevisana tagliata a pezzettini.;Far stufare molto bene.;Cuocere la pasta al dente.;Far rosolare il bacon a pezzettini in una padella antiaderente.;Mescolare la trevisana alla pasta.;Ungere una pirofila.;Mettere parte della pasta.;Fare degli strati con la scamorza a dadini piccoli e il bacon.;Mettere in forno caldo per 10 min. (finchè il formaggio si è sciolto).;Servire.;;;;;;;;Si può anche mescolare il tutto nella pentola sul fuoco e servire. La scamorza affumicata, anche in forno, non si scioglie più di tanto.
Pasta alle melanzane;Primi piatti;Melanzane;6;530;3180;400 gr. di pasta corta;500 gr. di melanzane rotonde;500 gr. di ragù;besciamella;grana grattuggiato;noce moscata;sale;pepe;;;;;;;;;;;Fare una besciamella usando 30 gr. di farina, di burro e 3 dl. di latte.;Friggere le melanzane a fette abbastanza sottili.;Asciugarle bene.;Cuocere la pasta al dente.;Mescolarla al ragù.;Metterla in una pirofila unta e fare degli strati con le melanzane.;A strati mettere anche il grana.;Aggiungere la noce moscata alla besciamella.;Mettere la besciamella alla fine degli strati.;Spolverare con altro formaggio grana.;Cuocere in forno a 200° per 15 min.;Lasciare riposare qualche min. e servire.;;;;;;;Se si prepara il giorno prima conservarla in frigo. Terminare la cottura in forno solo poco prima di servire.
Pasta alle melanzane e ricotta;Primi piatti;Melanzane;4;484;1936;3 melanzane tonde;300 gr. di pasta Barilla;20 gr. di latte tiepido;4 cucchiai di grana;100 gr. di ricotta;olio per friggere;un po' di farina;;;;;;;;;;;;Tagliare le melanzane a dadini piccoli.;Infarinarle.;Friggerle e asciugarle su carta assorbente.;Cuocere la pasta al dente.;Mescolare il latte con tre cucchiai di grana.;Aggiungerci la ricotta e mettere sul fuoco.;Scaldare a fuoco bassissimo.;Mettere gli spaghetti caldi in una terrina.;Mescolarli con la crema di ricotta.;Servire subito e, in ogni piatto, mettere delle melanzane.;Spolverare con il grana rimasto.;;;;;;;;Buonissimo!!!
Pasta con cipolle e pancetta;Primi piatti;Cipolle;;;0;Cipolle;olio   ;pancetta non affumicata (morbidosa);alloro;aglio;pasta corta;;;;;;;;;;;;;Rosolare le cipolle affettate con poco olio.;Rosolare la pancetta a pezzettini su di una padella antiaderente calda.;Cuocere con la foglia di alloro e lo spicchio d'aglio.;Cuocere la pasta.;Scolarla nelle cipolle e spadellare.;Aggiungere la pancetta senza alloro e aglio.;Servire spolverato con abbondante grana.;;;;;;;;;;;;Mia ricetta.
Pasta con il cavolfiore;Primi piatti;Cavolfiore;;;0;Cavolfiore;Acciughe sott'olio;un po' d'olio delle acciughe;grana;pasta corta (ditaloni...);;;;;;;;;;;;;;Mettere l'olio e le acciughe in una pentola.;Lavare il cavolo e tagliarlo sottilissimo.;Metterlo nell'olio, aggiungere un po' d'acqua e coprire. ;Cuocere la pasta in acqua salata.;Scoperchiare il cavolo e rosolarlo un po'.;Scolare la pasta e mantecarla nel cavolo.;Servire caldo con abbondante grana.;;;;;;;;;;;;OTTIMA!!!!!!!! Se la mangia Paola usare olio d'oliva e un po' di sale. A lei non piace con l'acciuga.
Pasta con il cavolfiore risottata;Primi piatti;Cavolfiore;;;0;Cavolfiore;Olio;pasta ditaloni;sale grosso;;;grana;;;;;;;;;;;;Mettere le cimette di cavolfiore tagliate sottilissime in una pentola;Aggiungere poco olio, sale e acqua;Cuocere coperto;Quando è tenero aggiungere la pasta;Coprire con un po' d'acqua;Portare a cottura la pasta;Servire caldissima con abbondante grana grattuggiato;;;;;;;;;;;;Buonissima!!!!!!!!!! 
Pasta con le olive di Paola;Primi piatti;Patè di olive nere;;;0;1 bottiglia di passata di pomodoro;1 spicchio d'aglio fresco;olio ;sale ;pepe;1 manciata di olive verdi snocciolate;patè di olive nere;grana ;;;;;;;;;;;Mettere la passata in una padella con l'aglio, olio, sale, pepe;Far asciugare molto bene (circa 30 min. su fuoco basso);Cuocere la pasta al dente;Tagliare le olive verdi a metà;Togliere l'aglio al sugo;Aggiungere le olive e qualche cucchiaino di patè d'olive;Aggiungere la pasta e mescolare bene sul fuoco;Servirla con abbondante grana grattugiato;;;;;;;;;;;Ottima!!!!!!!!!!!!!!!!!!!! Brava Paola!
Pasta con mortadella e ricotta;Primi piatti;Mortadella;;;0;ricotta;mortadella in una fetta;pasta corta;concentrato di pomodoro;sale ;pepe;burro;grana;;;;;;;;;;;Cuocere la pasta.;Mescolare la ricotta con pochissimo concentrato di pomodoro.;Salare e pepare.;Tagliare la mortadella a cubetti.;Rosolarla in un po' di burro fino che diventa un po' croccante.;Scolare la pasta e mescolarla alla mortadella.;Aggiungere la ricotta e mescolare bene.;Servire con grana grattugiato.;;;;;;;;;;;Veramente buona!!!!
Pasta con salsiccia e verza;Primi piatti;Verza;4;615;2460;350 gr. di pasta corta;200 gr. di salsiccia;500 gr. di verza;una confezione per soffritto surgel.;un po' di pomodoro in tubetto;3 cucchiai di olio;sale;pepe;;;;;;;;;;;Tagliare la verza a fettine ed eliminare le parti più dure.;Mettere abbondante acqua salata a bollire.;Versarci la verza e cuocere per 5-10 min.;Far soffriggere le verdure con l' olio.;Spellare la salsiccia e tagliarla a pezzetti.;Farla rosolare senza aggiungere condimenti.;Scolare le verze e farle ben sgocciolare.;Aggiungerle alle verdure.;Aggiungere anche il pomodoro.;Far cuocere la pasta in abbondante acqua salata.;Scolarla al dente.;Versare la pasta nelle verdure.;Aggiungere anche la salsiccia senza il suo grasso.;Far saltare per qualche min.;Assaggiare per il sale.;Mettere abbondante pepe.;Servire caldo.;;Nei piatti si può mettere una spolverata di grana.
Pasta e fagioli;Primi piatti;Fagioli;2;;0;2 scatole di fagioli;100 gr. di ditaloni rigati;rosmarino secco;sale;olio extravergine;pepe nero;grana grattugiato;;;;;;;;;;;;Frullare una scatola di fagioli con la sua acqua ;(se non ce n'è a sufficienza aggiungerne un po');Mettere in una pentola;Aggiungere l'altra scatola di fagioli;Salare, mettere il rosmarino e portare a bollore;Aggiungere la pasta ed eventualmente un po' d'acqua;Quando la pasta è cotta servire;Aggiungere olio a crudo, pepe e grana;;;;;;;;;;;Ricetta modificata da me. Molto buona e saporita. Veloce veloce!!!!
Pasta fresca con i carletti;Primi piatti;Carletti (erba primaverile);;;0;Pasta all'uovo fresca;funghi surgelati con porcini;olio;sale;aglio;prezzemolo;pancetta affumicata;carletti;wurstel;;;;;;;;;;Cuocere i funghi con poco olio, aglio, prezzemolo e sale.;Farli asciugare bene.;Rosolare a parte la pancetta senza grassi.   ****;Lessare i carletti in poca acqua.;Sgocciolarli e tagliarli con le forbici.;In una padella larga (Wok) amalgamare funghi, pancetta e carletti .;Mettere la pancetta con tutto il grasso che ha buttato.;Fare attenzioni alle giuste proporzioni.;Far rosolare in modo che si amalgamino bene i sapori. ;Cuocere la pasta al dente.;Versare la pasta nel sugo e mescolare bene sul fuoco.;Quando si è bene amalgamata servire.;Servire calda con grana grattuggiato.;;**** a metà rosolatura aggiungere dei wurstel a rondelle.;;;;Fare la pasta in casa e all'impasto aggiungere i carletti lessati, strizzati e tagliati con le forbici. Amalgamarli a mano in modo che la pasta venga a puntini. Tirare la sfoglia e tagliarla con la rotella. Ricetta di mia invenzione.
Pasta mediterranea;Primi piatti;Pomodorini secchi;4;555;2220;350 gr. di pasta rigata grossa;200 gr. di pomodori secchi sott'olio;30 olive nere grosse;1 cucchiaio di capperi;1 peperoncino fresco;2 spicchi d'aglio;1 cucchiaio di origano;1 limone;6 cucchiai di olio extravergine;sale;;;;;;;;;Sgocciolare i pomodori secchi e tritarli grossolanamente.;Tagliare a rondelle le olive dopo averle snocciolate.;Schiacciare gli spicchi d'aglio.;Mettere il tutto in una terrina.;Tritare i capperi e sminuzzare grossolanamente il peperoncino.;(Aglio e  peperoncino andranno tolti al momento di condire la pasta.);Unire ai pomodori insieme ad un po' di buccia e succo di limone.;Aggiungere l'origano e l'olio.;Mescolare e mettere in frigo per 2 ore e 1\2, coperto con pellicola.;Estrarre dal frigo e lasciare a temperatura ambiente.;Cuocere la pasta in abbondante acqua salata.;Eliminare il peperoncino e l'aglio dal condimento.;Versare la pasta e mescolare benissimo.;Servire subito.;;;;;A piacere si possono aggiungere anche 2 filetti di acciuga sott'olio tritata fine. Se non piace l'origano si può sostituire con timo o maggiorana o semplicemente con basilico fresco. 
Pasta risottata al sedano rapa;Primi piatti;Sedano rapa (o di Verona);;;0;sedano rapa già cotto con dell'olio;pasta (ditaloni rigati);acqua;burro;grana;sale;;;;;;;;;;;;;Nella padella mettere il sedano rapa e un po' d'acqua;Portare a bollore e aggiungere la pasta.;Salare un pochino;Portare a cottura la pasta aggiungendo eventualmente un po' d'acqua;Far asciugare molto bene. Deve essere asciutta, come una pastasciutta;Nel piatto mettere un po' di burro;Aggiungere abbondante grana grattugiato;;;;;;;;;;;;Ricetta di mia invenzione. Buonissima!!!!!
Pasticcio;Primi piatti;Ragù;;;0;2 kg. di macinato misto;4 scatole di pomodoro;2 dadi;600 gr. di farina;6 uova;100 gr. di farina;100 gr. di burro;1 litro di latte;1 cucchiaino di sale;farina per la tavola;grana;;;;;;;;Cuocere il macinato con i pomodoro e i dadi fino a completa cottura.;Mescolare nel frullatore 6 etti di farina con le uova.;Tirare la pasta con la macchinetta al numero 6.;Fare la besciamella in 2 volte nel microonde.;( 50burro, 50farina e 1/2 litro latte + 1/2cucchiaino di sale);Stendere besciamella, ragù e pasta. ;Alla fine spolverare abbondantemente di grana;Cuocere a 200° per 30 min.;;;;;;;;;;;Mia ricetta.
